age,income
25,24.42167936
26,25.95648592
27,27.4253828
28,28.82836798
29,30.16543736
30,31.43659706
31,32.64184505
32,33.78117929
33,34.8546059
34,35.86211468
35,36.80371582
36,37.67940525
37,38.48917889
38,39.23304489
39,39.91099918
40,40.52303768
41,41.06916447
42,41.54938362
43,41.9636829
44,42.31207863
45,42.59455448
46,42.81112679
47,42.96178329
48,43.04652809
49,43.06535709
50,43.01827438
51,42.90528812
52,42.72638199
53,42.48156822
54,42.17083458
55,41.79419331
56,41.3516444
57,40.84318378
58,40.26880329
59,39.62851925
60,38.92231941
61,38.15020786
62,37.31218052
63,36.40824146
64,35.43839478
